V160101f,V160102f,V161024x,V161140x,V161158x,V161188,V161192,V161194x,V161198,V161204x,V161208,V161209,V161210,V161211,V161212,V161213x,V161214x,V161215,V161216,V161217,V161218,V161219,V161220,V161221,V161225x,V161227x,V161228x,V161229x,V161231,V161232,V161233x,V161235x,V161236,V161237,V161241,V161242,V161243,V161244,V161245,V161267x,V161268,V161270,V161276x,V161310x,V161316,V161324,V161326,V161327,V161331x,V161334,V161340,V161342,V161343,V161344,V161345,V161361x,V161362,V161496,V161507,V161508,V161509,V161510,V161511,V161515,V161516,V161522,V162010,V162011,V162012,V162013,V162014,V162014a,V162016,V162016a,V162018a,V162018b,V162018c,V162018d,V162018e,V162019,V162030x,V162031x,V162062x,V162066x,V162067x,V162068x,V162069x,V162078,V162079,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,V162123,V162125x,V162136x,V162147x,V162150x,V162157,V162158,V162160,V162168,V162169,V162170,V162171,V162174a,V162178,V162179,V162180x,V162188x,V162191a,V162193x,V162207,V162209,V162210,V162211,V162212,V162213,V162214,V162229x,V162230x,V162231x,V162238x,V162239,V162240,V162241,V162242,V162254,V162255x,V162262,V162263,V162266,V162268,V162269,V162270,V162271,V162272,V162273,V162274,V162290,V162310,V162311,V162312,V162313,V162314,V162316,V162317,V162318,V162319,V162320,V162321,V162322,V162323,V162324,V162325,V162345,V162346,V162347,V162348,V162349,V162350,V162351,V162352,V162353,V162354,V162355,V162356,V162357,V162358,V162359,V162360,V162361,V162362,V162363,V162364,V162365,V162366,V162367,V162368,V162369,V168112,V168113
0.887,0.927,3,5,7,2,3,4,7,4,1,2,1,1,1,1,7,4,1,1,1,4,3,2,6,4,1,4,3,2,1,5,5,1,1,3,1,1,4,3,1,9,1,1,1,1,1,2,21,3,1,1,5,2,3,13,2,10,2,2,2,2,1,1,1,2,2,2,2,2,2,-1,2,-1,2,2,2,2,1,2,2,1,2,21,-1,2,-1,15,85,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,2,1,4,2,2,4,2,1,2,1,1,6,4,3,2,2,6,2,4,4,4,2,1,5,5,1,4,4,4,5,2,2,1,1,2,6,2,2,2,4,2,2,1,1,2,1,4,30,30,60,0,60,4,2,2,-1,2,-1,2,2,2,2,4,7,4,4,2,6,6,3,6,2,7,2,4,4,4,4,4,4,3,4,4,4,-4,3,4,4,4
1.16,1.084,3,3,6,1,1,1,7,6,3,2,1,3,1,2,7,4,1,1,2,3,2,1,1,1,1,-1,3,4,4,3,1,1,2,-1,3,2,-1,3,6,13,1,1,1,0,1,2,3,4,2,1,1,1,3,17,4,0,3,3,1,2,1,2,1,3,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,4,1,2,21,2,2,-1,50,60,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,3,1,6,1,1,5,2,5,1,2,3,5,7,1,1,4,2,2,2,1,1,3,3,2,4,3,7,4,4,5,1,2,2,1,2,4,3,4,1,4,5,2,1,2,1,2,2,50,30,50,0,50,3,4,1,3,1,1,2,2,1,2,4,5,1,1,5,5,7,2,6,7,3,1,1,1,3,4,1,3,3,1,4,1,-4,3,4,1,2
0.41600000000000004,0.39799999999999996,1,3,3,2,1,7,7,4,1,2,1,1,3,4,7,4,1,1,4,4,3,1,4,5,1,1,1,2,1,3,3,1,2,-1,3,2,-1,2,6,9,1,1,1,2,1,2,1,1,2,1,3,2,3,6,4,1,2,2,3,3,1,2,1,1,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,50,70,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,3,2,6,1,1,3,1,4,2,1,1,99,-1,1,1,2,6,2,2,2,2,3,1,5,5,1,3,1,4,5,1,2,2,2,3,3,2,1,1,3,1,3,2,2,1,1,2,50,15,30,15,60,3,2,2,-1,1,2,2,2,2,2,4,3,4,5,4,6,2,3,4,2,4,4,2,2,3,3,2,2,3,1,2,1,-4,2,4,4,3
0.385,0.418,4,3,5,1,3,4,5,6,1,3,1,3,1,1,6,2,1,1,4,2,2,2,4,1,1,1,3,3,1,3,3,2,1,3,1,1,1,9,1,9,1,1,1,0,1,3,40,3,1,1,3,1,3,20,3,-9,2,3,3,3,1,2,2,2,1,2,2,2,2,-1,2,-1,2,2,1,1,2,2,-1,1,2,21,-1,-1,-1,15,60,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,4,1,4,4,2,4,2,3,4,2,2,6,5,1,2,4,4,2,6,4,2,1,2,4,4,2,6,1,4,5,2,1,2,1,3,6,4,4,2,4,4,4,2,4,2,2,2,50,50,50,40,50,2,2,2,-1,1,3,2,1,2,2,4,4,3,3,4,5,4,3,5,3,5,3,3,3,4,3,2,3,3,2,3,2,-4,4,4,2,2
0.693,0.726,3,3,3,1,3,6,7,7,1,2,1,2,1,7,4,5,2,3,4,4,1,1,1,5,4,4,2,4,2,4,2,3,1,3,2,1,2,5,4,9,1,1,1,3,2,3,38,1,2,2,3,1,3,3,3,0,2,3,4,4,1,2,1,2,2,2,2,2,2,-1,2,-1,2,2,2,2,2,2,-1,1,4,41,1,1,-1,30,15,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,5,1,7,4,1,3,4,3,4,2,2,4,-1,1,2,4,1,-1,7,2,3,2,2,3,4,3,5,4,4,-8,2,2,1,2,3,4,4,4,4,3,3,4,2,2,4,3,1,85,85,85,50,85,4,4,2,-1,2,-1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,2,4,3,2,3,-4,2,5,4,3
0.758,0.7240000000000001,3,5,5,2,3,2,5,7,3,2,3,2,3,1,4,5,1,1,2,3,3,-8,7,1,-8,1,2,2,3,2,5,2,1,3,2,1,1,10,2,14,1,1,1,1,1,3,22,2,1,1,3,1,3,1,4,-9,5,2,5,5,1,2,2,1,1,2,2,2,2,-1,2,-1,2,2,1,1,2,2,4,1,2,20,2,-1,-1,0,65,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,3,1,7,2,2,3,3,1,1,-8,-8,7,1,-8,2,6,4,2,-8,3,2,1,2,5,3,-8,4,4,7,5,3,3,3,3,4,-8,3,3,1,4,3,3,3,4,2,1,4,50,50,50,25,50,-1,-1,-9,-1,-9,-1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-4,-9,-9,1,1
4.251,4.79,3,4,1,1,3,4,1,7,1,3,1,1,1,4,6,4,1,1,2,3,1,1,1,6,5,1,1,4,2,2,1,4,1,3,2,1,4,9,1,5,1,2,4,0,1,3,11,2,1,1,4,1,3,22,3,0,3,2,3,2,1,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,11,1,1,-1,85,50,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,3,1,2,2,1,3,4,4,2,1,1,99,-1,2,3,1,4,1,1,2,3,1,1,2,3,1,7,4,4,4,2,2,1,1,2,-8,3,1,3,2,3,4,4,4,1,1,2,50,50,50,50,50,-1,-1,1,2,1,1,1,1,3,3,2,5,2,2,1,4,1,2,3,1,4,3,2,3,3,5,2,4,5,3,5,2,-4,8,3,3,3
1.032,1.041,3,4,4,2,3,1,7,5,1,2,1,2,2,2,7,5,1,1,2,4,1,2,6,3,4,1,1,3,2,3,4,1,1,3,2,2,-1,9,3,9,1,1,1,0,1,2,40,2,2,2,1,1,2,28,4,0,2,3,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,21,2,-1,-1,15,85,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,2,1,7,4,1,4,3,4,4,4,2,4,7,2,1,4,6,2,5,2,2,2,4,5,5,2,7,1,4,5,2,2,2,2,3,4,4,2,2,3,4,2,2,3,1,1,2,85,100,85,40,100,3,3,2,-1,2,-1,2,2,2,2,2,2,3,2,2,5,3,2,4,1,6,1,3,3,3,4,3,4,3,1,3,2,-4,2,4,1,1
1.048,1.073,1,4,5,1,3,7,7,7,1,3,3,3,2,2,7,3,1,1,4,2,2,2,4,5,1,1,1,3,1,4,3,1,2,-1,3,1,4,7,5,9,1,6,1,0,1,2,3,1,2,1,1,1,3,12,4,2,2,3,2,2,1,2,2,2,2,2,2,2,2,-1,2,-1,2,2,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,0,70,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,2,1,4,2,2,5,1,4,1,2,1,5,7,2,1,2,4,2,4,2,3,1,2,4,4,1,6,4,4,5,2,2,2,1,3,9,2,2,1,4,2,2,2,2,1,1,2,70,85,60,0,100,-1,-1,2,-1,1,3,2,2,2,3,2,6,1,1,2,7,3,1,5,2,7,2,4,3,5,4,2,3,5,1,4,2,-4,2,5,1,1
0.664,0.637,3,3,3,1,3,4,4,4,1,3,1,1,1,1,3,2,2,2,4,2,1,1,2,6,2,1,1,4,3,2,1,1,1,2,2,1,4,4,1,10,1,1,1,2,1,2,3,2,2,2,3,1,2,19,2,0,3,3,3,3,1,2,1,1,2,2,2,2,2,-1,2,-1,2,1,1,2,1,2,-1,1,3,30,-1,-1,-1,50,60,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,5,1,6,1,1,3,3,3,3,4,3,2,2,-8,3,4,4,1,3,4,1,2,3,3,2,3,6,4,6,5,2,1,2,1,3,-8,3,4,3,3,3,3,4,4,2,3,2,50,50,50,50,50,3,5,2,-1,2,-1,2,2,2,2,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,-4,1,3,1,2
