,pre_election_weight_ftf,post_election_weight_ftf,pre_voting_status,pre_economy_last_year,pre_party_id,pre_gun_access_importance,pre_unauthorized_immigrants,pre_birthright_citizenship,pre_govt_assist_to_blacks,pre_affirmative_action,pre_crime_budget,pre_welfare_budget,pre_childcare_budget,pre_aid_to_poor_budget,pre_environment_budget,pre_troops_to_fight_isis,pre_syrian_refugees,pre_trust_washington,pre_interests_of_few_or_many,pre_govt_waste_tax_money,pre_govt_corruption,pre_are_people_trustworthy,pre_govt_attention,pre_global_warming,pre_govt_action_rising_temp,pre_govt_services_same_sex_couples,pre_transgender_policy,pre_lgbt_protection_laws,pre_gay_marriage,pre_abortion,pre_death_penalty,pre_economy_since_2008,pre_angry_at_obama,pre_proud_of_obama,pre_religion_importance,pre_religion_provides_guidance,pre_bible_word_of_got_or_men,pre_attend_religions_services,pre_how_often_religious_services,pre_major_religious_groups,pre_age_group,pre_marital_status,pre_education_level,pre_occupation_status,pre_social_class,pre_race,pre_place_of_birth,pre_children_in_household,pre_home_internet_use,pre_cell_or_landline,pre_length_in_current_coummunity,pre_home_ownership,pre_unexpired_passport,pre_gender,pre_roughing_up_protestors,pre_justified_use_of_violence,pre_feminist,pre_income,pre_political_correctnses,pre_gun_ownership,pre_sexist_remarks,pre_women_appreciating_men,pre_women_power_over_men,pre_men_on_leash,pre_sexual_orientation,pre_party_representation_house,pre_party_representation_senate,pre_general_satisfaction,pre_talk_about_voting,pre_political_meetings,pre_political_visibility,pre_work_for_party,pre_monetary_contribution_to_party,pre_party_contributed_to,post_monetary_contribution_to_party,post_party_contributed_to,post_protest_participation,post_signed_petition,post_give_money_to_relig_org,post_give_money_to_soc_pol_org,post_social_media_political_message,post_contact_representative,post_party_registration,post_voted_in_2016,post_pres_vote_self_rep,post_pres_vote_admin,post_strength_of_vote,post_house_vote,post_senate_vote,post_governor_vote,post_reason_not_registered,post_clinton_rating,post_trump_rating,post_christian_fundamentalist_rating,post_feminist_rating,post_liberal_rating,post_labor_unions_rating,post_poor_people_rating,post_big_business_rating,post_conservative_rating,post_supreme_court_rating,post_lgbt_rating,post_congress_rating,post_rich_people_rating,post_muslims_rating,post_christians_rating,post_jews_rating,post_tea_party_rating,post_police_rating,post_transgender_rating,post_scientists_rating,post_blm_rating,post_world_like_america,post_american_flag,post_american_flag_summary,post_economic_mobility,post_vaccines,post_gender_income_equality,post_immigration_levels,post_immigration_takes_away_jobs,post_worry_terrorist_attack,post_need_free_thinkers,post_rotten_apples,post_strong_leader,post_liberal_conservative,post_discuss_politics,post_wiretaps,post_marijuana,post_bank_regulation,post_trump_towards_women,post_which_is_conservative_party,post_healthcare_spending,post_attitude_toward_changing_world,post_tolerate_other_morals,post_trad_values,post_no_favors_for_blacks,post_slavery_impact,post_blacks_deserve_more,post_blacks_should_try_harder,post_bond_with_child,post_man_works,post_women_discrimination,post_preferential_hiring,post_child_indep_respect,post_child_curiosity_manners,post_child_obedience_self_reliance,post_child_considerate_behave,post_govt_knew_9_11,post_obama_muslim,post_politicians_are_problem,post_strong_leader_bend_rules,post_minorities_should_adapt,post_immigrants_good_for_economy,post_immigrants_harm_culture,post_immigrants_increase_crime,post_truly_american_us_born,post_truly_american_us_ancestry,post_truly_american_speak_english,post_truly_american_follow_trad,post_satisfied_with_democracy,post_asian_american_feeling_therm,post_hispanics_feeling_therm,post_blacks_feeling_therm,post_illegal_imm_feeling_therm,post_whites_feeling_therm,post_whites_work_together,post_hiring_minorities,post_govt_treatment_whites_blacks,post_govt_treatment_degree,post_police_treatment_whites_blacks,post_police_treatment_degree,post_white_influence,post_black_influence,post_hispanic_influence,post_asian_influence,post_whites_hardworking,post_blacks_hardworking,post_hispanics_hardworking,post_asians_hardworking,post_whites_violent,post_blacks_violent,post_hispanics_violent,post_asians_violent,post_muslims_violent,post_christians_violent,post_muslims_patriotic,post_christians_patriotic,post_discrim_blacks,post_discrim_hispanics,post_discrim_asians,post_discrim_whites,post_discrim_lgbt,post_discrim_women,post_discrim_men,post_discrim_muslim,post_discrim_christian,post_discrim_transgender,post_discrim_personal,post_skintone,post_discrim_skintone,post_support_trump,post_gender,post_age_est,post_inform_level,post_intelligence
0,0.887,0.927,3,5,7,2,3,4,7,4,1,2,1,1,1,1,7,4,1,1,1,4,3,2,6,4,1,4,3,2,1,5,5,1,1,3,1,1,4,,3,1,9,1,,1,1,1,1,2,21,3,1,1,5,2,3,13,2,10,2,2,2,2,1,1,1,2,2,2,2,2,2,,2,,2,2,2,2,1,2,2,1,2,2,21,,2,,,15,85,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,2,1,1,4,2,2,4,2,1,2,1,1,6,4,3,2,2,6,2,4,4,4,2,1,5,5,1,4,4,4,5,2,2,1,1,2,6,2,2,2,4,2,2,1,1,2,1,4,30,30,60,0,60,4,2,2,,2,,2,2,2,2,4,7,4,4,2,6,6,3,6,2,7,2,4,4,4,4,4,4,3,4,4,4,,3,4,,,,4,4
1,1.16,1.084,3,3,6,1,1,1,7,6,3,2,1,3,1,2,7,4,1,1,2,3,2,1,1,1,1,,3,4,4,3,1,1,2,,3,2,,,3,6,13,1,,1,1,0,1,2,3,4,2,1,1,1,3,17,4,0,3,3,1,2,1,2,1,3,2,2,2,2,2,,2,,2,2,2,2,2,2,4,1,2,2,21,2,2,,,50,60,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,3,1,1,6,1,1,5,2,5,1,2,3,5,7,1,1,4,2,2,2,1,1,3,3,2,4,3,7,4,4,5,1,2,2,1,2,4,3,4,1,4,5,2,1,2,1,2,2,50,30,50,0,50,3,4,1,3,1,1,2,2,1,2,4,5,1,1,5,5,7,2,6,7,3,1,1,1,3,4,1,3,3,1,4,1,,3,4,,,,1,2
2,0.416,0.398,1,3,3,2,1,7,7,4,1,2,1,1,3,4,7,4,1,1,4,4,3,1,4,5,1,1,1,2,1,3,3,1,2,,3,2,,,2,6,9,1,,1,1,2,1,2,1,1,2,1,3,2,3,6,4,1,2,2,3,3,1,2,1,1,2,2,2,2,2,,2,,2,2,2,2,2,2,,,,,,,,,0,50,70,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,3,1,2,6,1,1,3,1,4,2,1,1,99,,1,1,2,6,2,2,2,2,3,1,5,5,1,3,1,4,5,1,2,2,2,3,3,2,1,1,3,1,3,2,2,1,1,2,50,15,30,15,60,3,2,2,,1,2,2,2,2,2,4,3,4,5,4,6,2,3,4,2,4,4,2,2,3,3,2,2,3,1,2,1,,2,4,,,,4,3
3,0.385,0.418,4,3,5,1,3,4,5,6,1,3,1,3,1,1,6,2,1,1,4,2,2,2,4,1,1,1,3,3,1,3,3,2,1,3,1,1,1,,9,1,9,1,,1,1,0,1,3,40,3,1,1,3,1,3,20,3,,2,3,3,3,1,2,2,2,1,2,2,2,2,,2,,2,2,1,1,2,2,,1,,2,21,,,,,15,60,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,4,1,1,4,4,2,4,2,3,4,2,2,6,5,1,2,4,4,2,6,4,2,1,2,4,4,2,6,1,4,5,2,1,2,1,3,6,4,4,2,4,4,4,2,4,2,2,2,50,50,50,40,50,2,2,2,,1,3,2,1,2,2,4,4,3,3,4,5,4,3,5,3,5,3,3,3,4,3,2,3,3,2,3,2,,4,4,,,,2,2
4,0.693,0.726,3,3,3,1,3,6,7,7,1,2,1,2,1,7,4,5,2,3,4,4,1,1,1,5,4,4,2,4,2,4,2,3,1,3,2,1,2,,5,4,9,1,,1,1,3,2,3,38,1,2,2,3,1,3,3,3,0,2,3,4,4,1,2,1,2,2,2,2,2,2,,2,,2,2,2,2,2,2,,1,4,4,41,1,1,,,30,15,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,5,1,1,7,4,1,3,4,3,4,2,2,4,,1,2,4,1,,7,2,3,2,2,3,4,3,5,4,4,,2,2,1,2,3,4,4,4,4,3,3,4,2,2,4,3,1,85,85,85,50,85,4,4,2,,2,,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,2,4,3,2,3,,2,5,,,,4,3
5,0.758,0.724,3,5,5,2,3,2,5,7,3,2,3,2,3,1,4,5,1,1,2,3,3,,7,1,,1,2,2,3,2,5,2,1,3,2,1,1,,10,2,14,1,,1,1,1,1,3,22,2,1,1,3,1,3,1,4,,5,2,5,5,1,2,2,1,1,2,2,2,2,,2,,2,2,1,1,2,2,4,1,2,2,20,2,,,,0,65,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,3,1,1,7,2,2,3,3,1,1,,,7,1,,2,6,4,2,,3,2,1,2,5,3,,4,4,7,5,3,3,3,3,4,,3,3,1,4,3,3,3,4,2,1,4,50,50,50,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,4.251,4.79,3,4,1,1,3,4,1,7,1,3,1,1,1,4,6,4,1,1,2,3,1,1,1,6,5,1,1,4,2,2,1,4,1,3,2,1,4,,9,1,5,1,,2,4,0,1,3,11,2,1,1,4,1,3,22,3,0,3,2,3,2,1,2,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,11,1,1,,,85,50,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,3,1,1,2,2,1,3,4,4,2,1,1,99,,2,3,1,4,1,1,2,3,1,1,2,3,1,7,4,4,4,2,2,1,1,2,,3,1,3,2,3,4,4,4,1,1,2,50,50,50,50,50,,,1,2,1,1,1,1,3,3,2,5,2,2,1,4,1,2,3,1,4,3,2,3,3,5,2,4,5,3,5,2,,8,3,,,,3,3
7,1.032,1.041,3,4,4,2,3,1,7,5,1,2,1,2,2,2,7,5,1,1,2,4,1,2,6,3,4,1,1,3,2,3,4,1,1,3,2,2,,,9,3,9,1,,1,1,0,1,2,40,2,2,2,1,1,2,28,4,0,2,3,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,2,1,2,2,21,2,,,,15,85,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,2,1,1,7,4,1,4,3,4,4,4,2,4,7,2,1,4,6,2,5,2,2,2,4,5,5,2,7,1,4,5,2,2,2,2,3,4,4,2,2,3,4,2,2,3,1,1,2,85,100,85,40,100,3,3,2,,2,,2,2,2,2,2,2,3,2,2,5,3,2,4,1,6,1,3,3,3,4,3,4,3,1,3,2,,2,4,,,,1,1
8,1.048,1.073,1,4,5,1,3,7,7,7,1,3,3,3,2,2,7,3,1,1,4,2,2,2,4,5,1,1,1,3,1,4,3,1,2,,3,1,4,,7,5,9,1,,6,1,0,1,2,3,1,2,1,1,1,3,12,4,2,2,3,2,2,1,2,2,2,2,2,2,2,2,,2,,2,2,2,2,1,2,,,,,,,,,0,0,70,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,2,1,1,4,2,2,5,1,4,1,2,1,5,7,2,1,2,4,2,4,2,3,1,2,4,4,1,6,4,4,5,2,2,2,1,3,9,2,2,1,4,2,2,2,2,1,1,2,70,85,60,0,100,,,2,,1,3,2,2,2,3,2,6,1,1,2,7,3,1,5,2,7,2,4,3,5,4,2,3,5,1,4,2,,2,5,,,,1,1
9,0.664,0.637,3,3,3,1,3,4,4,4,1,3,1,1,1,1,3,2,2,2,4,2,1,1,2,6,2,1,1,4,3,2,1,1,1,2,2,1,4,,4,1,10,1,,1,1,2,1,2,3,2,2,2,3,1,2,19,2,0,3,3,3,3,1,2,1,1,2,2,2,2,2,,2,,2,1,1,2,1,2,,1,3,3,30,,,,,50,60,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,5,1,1,6,1,1,3,3,3,3,4,3,2,2,,3,4,4,1,3,4,1,2,3,3,2,3,6,4,6,5,2,1,2,1,3,,3,4,3,3,3,3,4,4,2,3,2,50,50,50,50,50,3,5,2,,2,,2,2,2,2,4,4,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,,1,3,,,,1,2
