,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
0,17076632,BURGLARY AUTO,BURGLARY - VEHICLE,1300 SAN PABLO AVE,Berkeley,CA,Monday,37.880262,-122.295809,2017-12-18 09:45:00
1,17092227,THEFT MISD. (UNDER $950),LARCENY,1600 SHATTUCK AVE,Berkeley,CA,Monday,37.878112,-122.269114,2017-10-30 10:25:00
2,18004102,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1400 SHATTUCK AVE,Berkeley,CA,Saturday,37.881957,-122.269551,2018-01-20 05:23:00
3,17065730,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SOLANO AVENUE & COLUSA AVE,Berkeley,CA,Saturday,37.891368,-122.279257,2017-10-28 20:08:00
4,18000630,BURGLARY AUTO,BURGLARY - VEHICLE,800 POTTER ST,Berkeley,CA,Wednesday,37.851255,-122.292509,2018-01-03 19:00:00
5,17064405,BURGLARY AUTO,BURGLARY - VEHICLE,1700 LE ROY AVE,Berkeley,CA,Sunday,37.879348,-122.258599,2017-10-22 18:00:00
6,17047894,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1900 SHATTUCK AVE,Berkeley,CA,Tuesday,37.873687,-122.268616,2017-08-15 12:34:00
7,17092229,BURGLARY AUTO,BURGLARY - VEHICLE,1200 EUCLID AVE,Berkeley,CA,Wednesday,37.88674,-122.262299,2017-10-25 18:30:00
8,17072806,THEFT MISD. (UNDER $950),LARCENY,1100 GLEN AVE,Berkeley,CA,Wednesday,37.887747,-122.264514,2017-11-29 12:00:00
10,17055485,NARCOTICS,DRUG VIOLATION,SHATTUCK AVENUE & KITTREDGE ST,Berkeley,CA,Thursday,37.868489,-122.26795,2017-09-14 21:43:00
11,17092083,BURGLARY AUTO,BURGLARY - VEHICLE,1785 FOURTH ST,Berkeley,CA,Wednesday,37.870311,-122.300756,2017-10-18 19:00:00
12,18090224,BURGLARY AUTO,BURGLARY - VEHICLE,1900 THOUSAND OAKS BLVD,Berkeley,CA,Thursday,37.897129,-122.278478,2018-01-25 19:00:00
13,17064647,ASSAULT/BATTERY MISD.,ASSAULT,2100 SHATTUCK AVE,Berkeley,CA,Tuesday,37.871167,-122.268285,2017-10-24 08:56:00
15,17062686,ROBBERY,ROBBERY,1500 UNIVERSITY AVE,Berkeley,CA,Sunday,37.870396,-122.281585,2017-10-15 17:09:00
16,17092385,VANDALISM,VANDALISM,2450 DURANT AVE,Berkeley,CA,Wednesday,37.867668,-122.260109,2017-11-29 18:45:00
17,17059712,NARCOTICS,DRUG VIOLATION,2400 SHATTUCK AVE,Berkeley,CA,Monday,37.865772,-122.267643,2017-10-02 22:15:00
18,17052078,BURGLARY AUTO,BURGLARY - VEHICLE,1500 SHATTUCK AVE,Berkeley,CA,Friday,37.88022700000001,-122.26936,2017-09-01 11:50:00
19,18004326,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,900 ADDISON ST,Berkeley,CA,Sunday,37.866936,-122.296218,2018-01-21 17:40:00
20,17092540,THEFT FELONY (OVER $950),LARCENY,2708 RUSSELL ST,Berkeley,CA,Wednesday,37.85853,-122.252457,2017-12-20 17:30:00
22,17092260,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,200 PANORAMIC WAY,Berkeley,CA,Thursday,37.869279,-122.244565,2017-11-09 22:35:00
25,17068151,BURGLARY AUTO,BURGLARY - VEHICLE,2700 RUSSELL ST,Berkeley,CA,Wednesday,37.858518,-122.252653,2017-11-08 19:20:00
26,17092271,THEFT MISD. (UNDER $950),LARCENY,1900 ALLSTON WAY,Berkeley,CA,Thursday,37.868785,-122.272701,2017-11-09 15:10:00
27,17055890,BURGLARY AUTO,BURGLARY - VEHICLE,2300 DWIGHT WAY,Berkeley,CA,Saturday,37.864535,-122.262993,2017-09-16 01:00:00
28,17055716,BURGLARY AUTO,BURGLARY - VEHICLE,SAN PABLO AVENUE & CAMELIA ST,Berkeley,CA,Friday,37.878722,-122.295312,2017-09-15 17:40:00
29,17092472,BURGLARY AUTO,BURGLARY - VEHICLE,800 ANTHONY ST,Berkeley,CA,Monday,37.85175,-122.29379,2017-12-11 19:00:00
30,18006469,DISTURBANCE,DISORDERLY CONDUCT,1600 DERBY ST,Berkeley,CA,Friday,37.859006,-122.277874,2018-01-19 00:00:00
31,17067957,ROBBERY,ROBBERY,ADELINE STREET & ASHBY AVE,Berkeley,CA,Wednesday,37.854732,-122.26898,2017-11-08 00:30:00
32,18005755,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,Berkeley,CA,Monday,37.867852,-122.258699,2018-01-29 01:25:00
33,17049622,FRAUD/FORGERY,FRAUD,2100 SIXTH ST,Berkeley,CA,Tuesday,37.866592,-122.297226,2017-08-22 16:08:00
34,17051393,ASSAULT/BATTERY MISD.,ASSAULT,2500 TELEGRAPH AVE,Berkeley,CA,Tuesday,37.865009,-122.258767,2017-08-29 20:48:00
35,18000718,VANDALISM,VANDALISM,1500 OREGON ST,Berkeley,CA,Thursday,37.856078,-122.279311,2018-01-04 12:20:00
36,18006916,DOMESTIC VIOLENCE,FAMILY OFFENSE,100 SEAWALL DR,Berkeley,CA,Saturday,37.863611,-122.317566,2018-02-03 12:00:00
37,17055927,MISSING ADULT,MISSING PERSON,1900 OXFORD ST,Berkeley,CA,Friday,37.873885,-122.266332,2017-09-15 08:30:00
38,17091624,THEFT FELONY (OVER $950),LARCENY,2000 LINCOLN ST,Berkeley,CA,Tuesday,37.877232,-122.271244,2017-08-15 05:00:00
39,17047991,ROBBERY,ROBBERY,ASHBY AVENUE & ELLIS ST,Berkeley,CA,Tuesday,37.854021,-122.273207,2017-08-15 19:11:00
40,17065676,THEFT MISD. (UNDER $950),LARCENY,2000 KITTREDGE ST,Berkeley,CA,Thursday,37.868204,-122.270054,2017-10-26 13:00:00
41,17061491,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1800 BONITA AVE,Berkeley,CA,Wednesday,37.874351,-122.272197,2017-10-11 02:00:00
42,17047538,NARCOTICS,DRUG VIOLATION,1700 UNIVERSITY AVE,Berkeley,CA,Sunday,37.870948,-122.27733,2017-08-13 19:42:00
43,17054317,NARCOTICS,DRUG VIOLATION,DWIGHT WAY & SIXTH ST,Berkeley,CA,Saturday,37.859979,-122.295077,2017-09-09 21:44:00
44,17061264,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & IDAHO ST,Berkeley,CA,Tuesday,37.847421,-122.28133,2017-10-10 00:06:00
45,17077040,BURGLARY AUTO,BURGLARY - VEHICLE,1900 FIFTH ST,Berkeley,CA,Wednesday,37.868146,-122.298932,2017-12-20 16:26:00
46,17092065,BURGLARY AUTO,BURGLARY - VEHICLE,100 SEAWALL DR,Berkeley,CA,Friday,37.863611,-122.317566,2017-10-13 16:30:00
47,17069496,ASSAULT/BATTERY FEL.,ASSAULT,ALCATRAZ AVENUE & SACRAMENTO ST,Berkeley,CA,Tuesday,37.847908,-122.277685,2017-11-14 20:50:00
48,17057841,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & MILVIA ST,Berkeley,CA,Sunday,37.869057,-122.270463,2017-09-24 16:35:00
49,17055029,DISTURBANCE,DISORDERLY CONDUCT,2100 TENTH ST,Berkeley,CA,Tuesday,37.867108,-122.29273700000002,2017-09-12 15:27:00
50,17062673,VANDALISM,VANDALISM,2000 UNIVERSITY AVE,Berkeley,CA,Thursday,37.871828,-122.270516,2017-10-12 12:00:00
51,17060980,ROBBERY,ROBBERY,3000 TELEGRAPH AVE,Berkeley,CA,Sunday,37.855435,-122.259841,2017-10-08 16:30:00
52,17079073,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,Berkeley,CA,Sunday,37.858079,-122.268016,2017-12-31 13:30:00
53,17056690,VEHICLE STOLEN,MOTOR VEHICLE THEFT,OREGON STREET & ADELINE ST,Berkeley,CA,Tuesday,37.857437,-122.268263,2017-09-19 20:30:00
54,17068243,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1300 BERKELEY WAY,Berkeley,CA,Wednesday,37.870592,-122.286613,2017-11-08 22:30:00
55,17091867,THEFT FELONY (OVER $950),LARCENY,900 PARKER ST,Berkeley,CA,Sunday,37.858455,-122.293374,2017-09-17 19:00:00
56,17059416,VANDALISM,VANDALISM,800 DELAWARE ST,Berkeley,CA,Thursday,37.870393,-122.299532,2017-09-28 19:00:00
57,18090282,BURGLARY AUTO,BURGLARY - VEHICLE,2200 DURANT AVE,Berkeley,CA,Sunday,37.866969,-122.26553,2018-02-04 10:15:00
58,18005778,VANDALISM,VANDALISM,1800 BERKELEY WAY,Berkeley,CA,Monday,37.872166,-122.275372,2018-01-29 07:40:00
59,17056840,BURGLARY AUTO,BURGLARY - VEHICLE,1200 EUCLID AVE,Berkeley,CA,Wednesday,37.88674,-122.262299,2017-09-20 16:25:00
60,17072613,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Wednesday,37.858132,-122.277595,2017-11-29 21:00:00
61,17091662,THEFT MISD. (UNDER $950),LARCENY,2000 ADDISON ST,Berkeley,CA,Monday,37.870867,-122.270635,2017-08-21 17:20:00
62,17050890,THEFT MISD. (UNDER $950),LARCENY,1400 SHATTUCK AVE,Berkeley,CA,Sunday,37.881957,-122.269551,2017-08-27 20:20:00
63,17057488,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2400 COLLEGE AVE,Berkeley,CA,Friday,37.867482,-122.254253,2017-09-22 21:30:00
64,18002226,THEFT MISD. (UNDER $950),LARCENY,2800 ADELINE ST,Berkeley,CA,Friday,37.858079,-122.268016,2018-01-12 09:20:00
65,17055072,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & SHATTUCK AVE,Berkeley,CA,Tuesday,37.86939,-122.267883,2017-09-12 23:07:00
66,17061559,DISTURBANCE,DISORDERLY CONDUCT,2100 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.872175,-122.267835,2017-10-11 11:20:00
67,17077734,VANDALISM,VANDALISM,1500 FAIRVIEW ST,Berkeley,CA,Friday,37.849747,-122.277907,2017-12-22 17:00:00
68,17050758,NARCOTICS,DRUG VIOLATION,2700 CHANNING WAY,Berkeley,CA,Sunday,37.867491,-122.254054,2017-08-27 00:17:00
69,17061831,DISTURBANCE,DISORDERLY CONDUCT,2300 WARRING ST,Berkeley,CA,Thursday,37.869137,-122.250908,2017-10-12 20:55:00
70,17069240,BURGLARY AUTO,BURGLARY - VEHICLE,2400 DURANT AVE,Berkeley,CA,Monday,37.867513,-122.26127,2017-11-13 15:00:00
71,17063867,DISTURBANCE,DISORDERLY CONDUCT,1100 DELAWARE ST,Berkeley,CA,Saturday,37.871689,-122.292898,2017-10-21 03:02:00
72,17068226,THEFT MISD. (UNDER $950),LARCENY,2000 ALLSTON WAY,Berkeley,CA,Wednesday,37.869096,-122.270137,2017-11-08 19:00:00
73,17091962,IDENTITY THEFT,FRAUD,1600 CORNELL AVE,Berkeley,CA,Thursday,37.87551,-122.291424,2017-09-28 15:15:00
74,17074332,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1500 OXFORD ST,Berkeley,CA,Wednesday,37.880519,-122.267051,2017-12-06 15:00:00
75,18007640,THEFT FELONY (OVER $950),LARCENY,1000 UNIVERSITY AVE,Berkeley,CA,Tuesday,37.868641,-122.29415,2018-02-06 22:20:00
76,17077971,DISTURBANCE,DISORDERLY CONDUCT,1600 WARD ST,Berkeley,CA,Monday,37.858132,-122.277595,2017-12-25 15:26:00
77,17091668,BURGLARY AUTO,BURGLARY - VEHICLE,200 MARINA BLVD,Berkeley,CA,Saturday,37.868667,-122.313656,2017-08-19 00:00:00
78,17092176,BURGLARY AUTO,BURGLARY - VEHICLE,2500 DURANT AVE,Berkeley,CA,Sunday,37.867852,-122.258699,2017-10-29 01:40:00
79,17053926,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AVE,Berkeley,CA,Friday,37.865491,-122.310065,2017-09-08 14:00:00
80,17065656,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1900 VINE ST,Berkeley,CA,Saturday,37.879679,-122.273638,2017-10-28 05:45:00
81,17063923,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2600 REGENT ST,Berkeley,CA,Friday,37.863369,-122.257622,2017-10-20 22:30:00
82,17091678,IDENTITY THEFT,FRAUD,2200 STUART ST,Berkeley,CA,Thursday,37.858888,-122.264137,2017-08-24 13:00:00
83,17075526,ASSAULT/BATTERY FEL.,ASSAULT,PORTLAND AVENUE & NEILSON ST,Berkeley,CA,Wednesday,37.894721,-122.286417,2017-12-13 07:30:00
84,17091944,THEFT MISD. (UNDER $950),LARCENY,2300 HASTE ST,Berkeley,CA,Thursday,37.865443,-122.26318899999998,2017-09-21 19:12:00
85,17054183,ASSAULT/BATTERY MISD.,ASSAULT,1900 ASHBY AVE,Berkeley,CA,Saturday,37.854286,-122.271015,2017-09-09 10:22:00
86,17057735,BURGLARY AUTO,BURGLARY - VEHICLE,HOWE STREET & TELEGRAPH AVE,Berkeley,CA,Sunday,37.857119,-122.259592,2017-09-24 03:23:00
87,18004808,BURGLARY AUTO,BURGLARY - VEHICLE,200 UNIVERSITY AVE,Berkeley,CA,Wednesday,37.865491,-122.310065,2018-01-24 11:30:00
88,17063467,MISSING ADULT,MISSING PERSON,1900 STUART ST,Berkeley,CA,Wednesday,37.857951,-122.271494,2017-10-18 09:30:00
89,18003155,THEFT FELONY (OVER $950),LARCENY,1200 FIFTH ST,Berkeley,CA,Tuesday,37.880786,-122.303067,2018-01-16 17:09:00
90,18003898,ROBBERY,ROBBERY,2700 CHANNING WAY,Berkeley,CA,Friday,37.867491,-122.254054,2018-01-19 21:07:00
91,17074062,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1900 RUSSELL ST,Berkeley,CA,Wednesday,37.856132,-122.271292,2017-12-06 06:00:00
92,17068065,FRAUD/FORGERY,FRAUD,100 TUNNEL RD,Berkeley,CA,Tuesday,37.856069,-122.24043,2017-11-07 17:00:00
93,17070288,DISTURBANCE,DISORDERLY CONDUCT,2300 TELEGRAPH AVE,Berkeley,CA,Saturday,37.868714,-122.259189,2017-11-18 15:00:00
