"","Id","Body","Tag"
"1",26739211,"<p>When I initialized my web client id and android client id variables in the python backend, I used backslashes for line continuation to conform with PEP8 (80 character line length) ie.</p>

<pre><code>WEB_CLIENT_ID = 'web-client-id'\
                '.apps.googleusercontent.com'
ANDROID_CLIENT_ID = 'android-client-id'\
                    '.apps.googleusercontent.com'
</code></pre>

<p>I am not sure why this was not read correctly, but when I used line continuation inside parenthesis it worked fine.</p>

<pre><code>WEB_CLIENT_ID = ('web-client-id'
                 '.apps.googleusercontent.com')
ANDROID_CLIENT_ID = ('android-client-id'
                     '.apps.googleusercontent.com')
</code></pre>
","android"
"2",23589964,"<p>I think you need XMPP messaging. It's support by App Engine but not in PHP : <a href=""https://developers.google.com/appengine/features/"" rel=""nofollow"">https://developers.google.com/appengine/features/</a></p>

<p>XMPP permit to send and receive chat messages.</p>
","android"
"3",28713425,"<p>found in <a href=""http://android-scripting.blogspot.fr/2010/11/first-android-experiment-smssenderpy.html"" rel=""nofollow"">In Love with a Droid</a>
need to wait via ttsIsSpeaking which returns a tuple, the boolean is the second element of the tuple is set false when the current speak has completed.</p>
","android"
"4",27410741,"<p>Did you try looking at the doc?</p>

<p><a href=""https://kivy.org/docs/api-kivy.uix.behaviors.focus.html#kivy.uix.behaviors.focus.FocusBehavior.input_type"" rel=""nofollow"">https://kivy.org/docs/api-kivy.uix.behaviors.focus.html#kivy.uix.behaviors.focus.FocusBehavior.input_type</a> ?</p>
","android"
"5",26013896,"<p>you can use <strong>adb shell logcat</strong> instead of abd logcat in</p>

<p>proc = subprocess.Popen(""adb shell logcat -v time"",stdout=subprocess.PIPE)</p>

<p>it will give all logs.</p>

<p>i hope it will work.</p>
","android"
"6",8798707,"<p>Use client authentication with SSL or just layer your own client authentication (username/password, token, etc) on top of server-authentication SSL. </p>

<p>(Edit: Moving the comment here, since it won't fit as a comment)</p>

<p>To elaborate a bit, any authentication info needs to be stored or entered in the app. If you have people enter the password each time, you don't need to save it, but that's clearly inconvenient. You can encrypt it with a device-specific key, so it's not visible on rooted devices. With a private key, you need to either protect it with a user entered password (see above) or have it protected by the system. That is only available since Android 4.0 (ICS) with the public API to the system keystore, the <code>KeyChain</code> class. In this case, the user needs to unlock (using pattern/password or PIN) the phone to access the keystore.</p>
","android"
"7",35492428,"<p>From what I gather you are try to run your tests concurrently, right?</p>

<p>If so, I haven't seen anything about threads in your post, and without threads your test will run serially.</p>

<p>The Selenium Grid doesn't round-robin connections for the same kind of resource. It simply allocates the first available machine. I.E. if test 'A' requests a specific browser/platform/device config, and runs to completion, then if test 'B' comes along and asks for the same config, it'll get the same machine that test A got. Make sense?</p>

<p>If you want to parallelize your tests, I would recommend checking out <a href=""http://pytest.org/latest/"" rel=""nofollow"">pytest</a> &amp; the <a href=""https://pypi.python.org/pypi/pytest-xdist"" rel=""nofollow"">xdist</a> plugin. This will handle all the threading/multiprocess stuff for you.</p>

<p>Fun fact, even if you wrote everything to use unittest, you don't have to rewrite everything to use pytest; just point pytest at your existing code.</p>
","android"
"8",11179014,"<p>If you dont explicitly want to use Sessions etc. you can simply use the Datastore. Try following this:</p>

<ol>
<li>Get a unique deviceID/email to identify each unique user.</li>
<li>On request from a specific user, generate a random authentication key, and store it attached to the user's email/deviceID and probably the current timestamp and a loggedIn flag.</li>
</ol>

<p>SO you have: </p>

<pre><code>User email/id: someone@example.com
password: xxxxxxxxxx
Key : 2131231312313123123213
Timestamp: 20:00 12-02-2013
loggedIn : boolean value
</code></pre>

<p>This can be database model. Now whenever the user logs in:</p>

<ul>
<li><strong>Check</strong> email, password combination.</li>
<li>If valid, <strong>generate random key</strong>, and <strong>update the datastore</strong> with the new key</li>
<li><strong>update timestamp with current time</strong>, and set <strong>loggedIn</strong> to <strong>True</strong></li>
<li>Now return the key back to the client (Android/iPhone) in a JSON object.</li>
</ul>

<p>Now on every request, Check the <strong>received key against the one in your datastore</strong>, and if <strong>loggedIn</strong> flag is set to true. If both OK, process the request.</p>

<p>Also, on Logout:</p>

<ul>
<li>Just set the <strong>loggedIn</strong> flag in the datastore to <strong>False.</strong></li>
</ul>

<p>Hope this helps :)</p>
","android"
"9",10091302,"<p>If you mean detecting which removable media is Android storage, you could scan all removable drives for the Android/ or .android_secure/ folders, which would suggest the device is Android. Documentation <a href=""http://docs.python.org/library/filesys.html"" rel=""nofollow"">here</a> may be useful.</p>
","android"
"10",26799084,"<p>Use 'Window', not 'Windows', and place in main.py:</p>

<pre><code>from kivy.core.window import Window
Window.softinput_mode = 'pan'
</code></pre>
","android"
"11",7860772,"<p>From the link you posted:</p>

<blockquote>
  <p>Scripts can be run interactively in a terminal, in the background, or via Locale.</p>
</blockquote>

<p>This already is a disadvantage, as you can't release your Apps to Android Market easily. This can however ostensibly be avoided by the build script of <a href=""http://pygame.renpy.org/"" rel=""nofollow"">Pygame Subset for Android,</a> but I am not sure about this. The Python interpreter will however need to be installed on the device, which will bloat the App's size by quite a bit.</p>

<p>The speed of execution of Python on an Android device of course is slower than Java, as Python doesn't magically accelerate just because it runs on a phone. The difference isn't that great in most situations, though.</p>
","android"
"12",32069867,"<p>Use any back-end, in which you feel comfortable, your just have to provide web services for Android. Google App Engine &amp; python is as good as any other. Only thing which matter is your comfort or experience (in a particular platform).</p>

<p>Some other options are:</p>

<ul>
<li>PHP, MySql</li>
<li>Java (see <a href=""http://sparkjava.com/"" rel=""nofollow"">Spark Framework</a>)</li>
<li>Scala/Java <a href=""https://www.playframework.com/"" rel=""nofollow"">Playframework</a></li>
<li>&amp; Many other</li>
</ul>
","android"
"13",25379098,"<p>Take a look at <a href=""https://github.com/dtmilano/AndroidViewClient"" rel=""nofollow"">AndroidViewclient/culebra</a>. It locates Views based on their attributes like id, text, content description, etc. </p>
","android"
"14",29742289,"<p>Try sudo apt-get install libatlas-base-dev it looks like you're missing some libraries</p>
","android"
"15",32070273,"<p>Thank you guys, I found the answer using  the below </p>

<p>rowcount = d(textStartsWith=""XXX"").count</p>

<p>print rowcount </p>

<p>This returns the exact number of rows starting with same letters/characters</p>
","android"
"16",37926346,"<p>You should use api for that however you can use webview in android dev.</p>
","android"
