,texts
0,"['allow', 'outset', 'behalf', 'president', 'republic', 'suriname', 'excellency', 'mr', 'desiré', 'delano', 'bouterse', 'people', 'government', 'suriname', 'congratulate', 'mr', 'president', 'welldeserved', 'election']"
1,"['election', 'bring', 'honour', 'country', 'antigua', 'barbuda', 'caribbean']"
2,"['background', 'sustainable', 'development', 'well', 'prepared', 'lead', 'us', 'deliberations', 'year', '’', 'theme', '“', 'post2015', 'development', 'agenda', 'setting', 'stage', '”']"
3,"['assure', 'support', 'cooperation', 'suriname', 'presidency']"
4,"['also', 'like', 'take', 'opportunity', 'pay', 'tribute', 'predecessor', 'mr', 'vuk', 'jeremi', 'leadership', 'sixtyseventh', 'session', 'general', 'assembly']"
5,"['furthermore', 'commend', 'secretary', 'general', 'ban', 'kimoon', 'management', 'united', 'nations', 'regard', 'peace', 'security', 'various', 'parts', 'globe']"
6,"['setting', 'new', 'stage', 'urgently', 'requires', 'much', 'effort', 'national', 'well', 'international', 'level', 'achieve', 'ultimate', 'goal', 'improving', 'standard', 'living', 'peoples', 'bringing', 'sustainable', 'development', 'countries']"
7,"['millennium', 'development', 'goals', 'important', 'first', 'step', 'towards', 'addressing', 'worst', 'socioeconomic', 'conditions', 'facing', 'approximately', '40', 'per', 'cent', 'humankind', 'targeted', 'reducing', 'worst', 'manifestations', 'underdevelopment']"
8,"['view', 'success', 'millennium', 'development', 'goals', 'depends', 'two', 'sets', 'simultaneous', 'actions', 'first', 'reorientation', 'national', 'responsibilities', 'second', 'equal', 'importance', 'reorientation', 'international', 'community']"
9,"['reorientation', 'enable', 'us', 'chart', 'meaningful', 'path', 'towards', 'meeting', 'targets', 'millennium', 'development', 'goals', 'moving', 'towards', 'post2015', 'development', 'agenda']"
10,"['particularly', 'relevant', 'take', 'heed', '2013', 'report', 'millennium', 'development', 'goals', 'reveals', 'rather', 'interesting', 'facts', 'developing', 'countries', 'performing', 'well', 'meeting', 'targets', 'developed', 'countries', 'committed', 'goal', '8', 'making', 'aid', 'pledges', 'viable', 'effective', 'nevertheless', 'well', 'behind', 'general', 'performance', 'meeting', 'targets']"
11,"['official', 'development', 'assistance', 'constant', 'decline', 'agreements', 'concluded', '2001', 'within', 'context', 'world', 'trade', 'organization', 'improve', 'access', 'international', 'markets', 'stalled', 'doha', 'round']"
12,"['stalling', 'proved', 'harmful', 'dealing', 'market', 'access', 'behalf', 'poorest', 'nations', 'left', 'subsequent', 'agendas']"
13,"['furthermore', 'know', 'ongoing', 'financial', 'economic', 'crisis', 'detrimental', 'impact', 'developing', 'nations', 'official', 'development', 'assistance', 'drastically', 'declining']"
14,"['clearly', 'number', 'large', 'developing', 'countries', 'mainly', 'asia', 'well', 'countries', 'endowed', 'natural', 'resources', 'africa', 'south', 'america', 'made', 'substantial', 'economic', 'progress']"
15,"['statistics', 'however', 'blind', 'us', 'fact', 'inequality', 'rampant', 'almost', '12', 'billion', 'people', 'still', 'living', 'extreme', 'poverty', 'access', 'affordable', 'adequate', 'health', 'services', 'millions', 'children', 'still', 'denied', 'right', 'primary', 'education']"
16,"['learned', 'important', 'lesson', 'developing', 'countries', 'obliged', 'undertake', 'adequate', 'measures', 'strengthen', 'economic', 'interactions', 'among', 'addition', 'ties', 'traditional', 'trading', 'partners', 'north']"
17,"['must', 'give', 'substance', 'southsouth', 'cooperation']"
18,"['important', 'consideration', 'setting', 'new', 'stage', 'global', 'sustainable', 'development']"
19,"['context', 'foreign', 'direct', 'investment', 'considered', 'factor', 'vital', 'importance']"
20,"['encouraging', 'note', 'number', 'countries', 'including', 'suriname', 'upgraded', 'lowincome', 'status', 'middleincome', 'status', 'international', 'financial', 'institutions', 'united', 'nations', 'agencies']"
21,"['efforts', 'develop', 'prudent', 'macroeconomic', 'appropriate', 'fiscal', 'policies', 'combined', 'initiatives', 'diversify', 'economy', 'sacrifices', 'borne', 'people', 'led', 'improved', 'status']"
22,"['applying', 'per', 'capita', 'income', 'major', 'indicator', 'determining', 'development', 'status', 'however', 'manoeuvred', 'us', 'position', 'lost', 'access', 'necessary', 'concessional', 'loans', 'grants']"
23,"['conclusion', 'drawn', 'people', 'punished', 'ability', 'overcome', 'obstacles', 'made', 'less', 'fortunate', 'past']"
24,"['within', 'interdependent', 'world', 'continue', 'build', 'strength', 'main', 'driving', 'force', 'achievement', 'development', 'agenda']"
25,"['furthermore', 'believe', 'building', 'upon', 'national', 'strengths', 'within', 'context', 'participation', 'subregional', 'regional', 'cooperation', 'frameworks', 'right', 'way', 'forward', 'finding', 'proper', 'solutions', 'development']"
26,"['basis', 'achieved', 'regional', 'level', 'global', 'approach', 'might', 'become', 'feasible']"
27,"['suriname', 'shares', 'view', 'base', 'post2015', 'development', 'agenda', 'peoplecentred', 'approach', 'specific', 'focus', 'vulnerable', 'society', 'particular', 'women', 'youth', 'elderly', 'people', 'disabilities']"
28,"['—', 'emphasize', '—', 'strike', 'right', 'balance', 'positive', 'macroeconomic', 'situation', 'micro', 'situation', 'dire', 'need', 'improvement']"
29,"['course', 'developing', 'policies', 'programmes', 'fight', 'noncommunicable', 'diseases', 'led', 'decreased', 'productivity']"
30,"['noncommunicable', 'diseases', 'become', 'leading', 'cause', 'death', 'suriname', 'countries', 'region']"
31,"['special', 'emphasis', 'improving', 'education', 'bringing', 'closer', 'socioeconomic', 'reality']"
32,"['intend', 'work', 'closely', 'relevant', 'international', 'organizations', 'pan', 'american', 'health', 'organization', 'world', 'health', 'organization', 'unesco', 'unicef', 'others']"
33,"['government', 'also', 'attaches', 'great', 'importance', 'issues', 'involving', 'young', 'people']"
34,"['regard', 'largescale', 'afterschool', 'programme', 'aim', 'enhancing', 'better', 'learning', 'youth', 'deserves', 'mention']"
35,"['successful', 'experiences', 'regional', 'cooperation', 'mechanisms', 'one', 'caribbean', 'community', 'caricom', 'well', 'one', 'considered', 'union', 'south', 'american', 'nations', 'unasur', 'clear', 'examples', 'youth', 'contribute', 'connectivity', 'peoples', 'enhancement', 'unity']"
36,"['taking', 'account', 'global', 'processes', 'cognizant', 'opportunities', 'challenges', 'caricom', 'unasur', 'post2015', 'development', 'agenda', 'emanate', 'inclusive', 'intergovernmental', 'process']"
37,"['process', 'directed', 'towards', 'continued', 'eradication', 'poverty', 'peoplecentred', 'approach', 'combining', 'economic', 'activity', 'social', 'need', 'education', 'health', 'care', 'thereby', 'promoting', 'welfare', 'wellbeing', 'integration', 'economic', 'social', 'action', 'strengthening', 'human', 'capital']"
38,"['global', 'warming', 'direct', 'negative', 'impact', 'development', 'small', 'island', 'developing', 'states', 'lowlying', 'coastal', 'states', 'including', 'suriname']"
39,"['suriname', 'shares', 'grave', 'concern', 'regarding', 'state', 'global', 'climate', 'stalled', 'united', 'nations', 'framework', 'convention', 'climate', 'change', 'process']"
40,"['government', 'suriname', 'strongly', 'recommends', 'general', 'assembly', 'face', 'challenges', 'making', 'part', 'post2015', 'development', 'agenda']"
41,"['setting', 'stage', 'development', 'goals', 'beyond', '2015', 'ignore', 'various', 'threats', 'international', 'peace']"
42,"['international', 'peace', 'security', 'human', 'rights', 'indispensable', 'creating', 'enabling', 'environment', 'sustainable', 'development']"
43,"['suriname', 'well', 'aware', 'fact', 'national', 'sovereignty', 'national', 'security', 'seriously', 'affected', 'indiscriminate', 'use', 'violence', 'fighting', 'terrorism', 'forms', 'transnational', 'organized', 'crime']"
44,"['challenges', 'related', 'armed', 'conflicts', 'poverty', 'food', 'environment', 'education', 'public', 'health', 'migration', 'energy', 'require', 'increased', 'collaboration']"
45,"['respect', 'partnership', 'among', 'governments', 'international', 'regional', 'organizations', 'civil', 'society', 'must']"
46,"['applaud', 'south', 'american', 'caribbean', 'nations', 'efforts', 'towards', 'regional', 'peace', 'stability']"
47,"['willingness', 'capacity', 'dialogue', 'persuasion', 'better', 'way', 'achieve', 'maintain', 'peace', 'use', 'violence', 'military', 'intervention']"
48,"['proud', 'belong', 'region', 'declared', 'nuclearweaponfree', 'zone']"
49,"['express', 'hope', 'twostate', 'solution', 'palestinianisraeli', 'conflict', 'gain', 'substance', 'allowing', 'peoples', 'countries', 'prospect', 'peace', 'prosperity']"
50,"['suriname', 'maintains', 'position', 'multilateral', 'process', 'within', 'united', 'nations', 'prevail', 'search', 'peaceful', 'solution', 'crisis', 'syria']"
51,"['cuban', 'people', 'right', 'participate', 'full', 'members', 'regional', 'organizations', 'strongly', 'urge', 'obstacles', 'prevented', 'full', 'participation', 'far', 'removed', 'including', 'outdated', 'inhuman', 'unilateral', 'economic', 'financial', 'commercial', 'embargo']"
52,"['regard', 'republic', 'haiti', 'international', 'community', 'tends', 'lose', 'attention', 'necessary', 'followup', 'activities', 'get', 'haiti', 'back', 'feet']"
53,"['call', 'upon', 'international', 'community', 'fulfil', 'commitments']"
54,"['closing', 'take', 'advantage', 'opportunity', 'inform', 'assembly', 'exactly', '30', 'days', 'ago', 'country', 'suriname', 'took', 'pro', 'tempore', 'presidency', 'union', 'south', 'american', 'nations', 'young', 'vibrant', 'regional', 'body']"
55,"['pledge', 'suriname', 'presidency', 'goals', 'unasur', 'contribute', 'international', 'peace', 'security', 'sustainable', 'development']"
56,"['may', 'first', 'congratulate', 'sir', 'election', 'president', 'general', 'assembly', 'sixtyeighth', 'session']"
57,"['confident', 'current', 'session', 'fruitful', 'one', 'able', 'leadership']"
58,"['republic', 'korea', 'pleased', 'united', 'nations', 'partnership', 'member', 'states', 'stewardship', 'secretarygeneral', 'ban', 'kimoon', 'strengthening', 'multilateralism', 'successfully', 'responding', 'diverse', 'challenges', 'international', 'community', 'faces']"
59,"['confident', 'secretarygeneral', '’', 'fiveyear', 'action', 'plan', 'help', 'united', 'nations', 'keep', 'making', 'important', 'contributions', 'period', 'transformation']"
60,"['twentytwo', 'years', 'ago', 'present', 'assembly', 'watch', 'great', 'emotion', 'historic', 'moment', 'republic', 'korea', 'admitted', 'state', 'member', 'united', 'nations']"
61,"['moment', 'came', 'end', 'long', 'wait', 'cold', 'war']"
62,"['time', 'republic', 'korea', 'solemnly', 'pledged', 'actively', 'take', 'part', 'shaping', 'new', 'global', 'order', 'free', 'fair', 'prosperous', 'justice', 'rule', 'law', 'prevail']"
63,"['live', 'pledge', 'republic', 'korea', 'though', 'latecomer', 'fully', 'embraced', 'callings', 'united', 'nations', 'passion', 'devotion']"
64,"['many', 'corners', 'world', 'korea', 'actively', 'taken', 'part', 'peacekeeping', 'reconstruction', 'efforts']"
65,"['currently', 'korea', 'serving', 'member', 'security', 'council', 'human', 'rights', 'council', 'among', 'others']"
66,"['since', 'inception', 'united', 'nations', 'taken', 'noble', 'endeavour', 'helping', 'peoples', 'united', 'nations', 'live', 'larger', 'freedom']"
67,"['however', 'insecurity', 'inequality', 'injustice', 'intolerance', 'still', 'prevail', 'many', 'parts', 'world', 'common', 'efforts', 'desperately', 'needed']"
68,"['furthermore', 'rise', 'new', 'global', 'challenges', 'climate', 'change', 'terrorism', 'cybercrime', 'calls', 'global', 'cooperation', 'transcends', 'existing', 'interstate', 'system']"
69,"['words', 'importance', 'relevance', 'united', 'nations', 'ever', 'increasing', 'key', 'vehicle', 'global', 'cooperation']"
70,"['new', 'administration', 'republic', 'korea', 'put', 'forward', 'foreignpolicy', 'vision', 'built', 'two', 'fundamental', 'objectives', '“', 'happiness', 'people', '”', '“', 'happiness', 'global', 'community', '”']"
71,"['vision', 'resonates', 'core', 'values', 'united', 'nations', '—', 'peace', 'human', 'rights', 'development']"
72,"['korea', 'seeks', 'make', 'meaningful', 'contributions', 'maintain', 'global', 'peace', 'beyond', 'korean', 'peninsula']"
73,"['want', 'share', 'fruits', 'economic', 'success', 'achieved', 'help', 'international', 'community', 'strive', 'enhance', 'dignity', 'happiness', 'global', 'citizens']"
74,"['believe', 'line', 'purposes', 'principles', 'united', 'nations', 'well']"
75,"['first', 'pillar', 'attaining', 'global', 'happiness', 'security']"
76,"['particular', 'republic', 'korea', 'view', 'proliferation', 'weapons', 'mass', 'destruction', 'means', 'delivery', 'one', 'serious', 'threats', 'international', 'peace', 'security']"
77,"['connection', 'use', 'chemical', 'weapons', 'syria', 'confirmed', 'report', 'united', 'nations', 'investigators', 'a67997', 'caused', 'worst', 'humanitarian', 'disaster', 'twentyfirst', 'century']"
78,"['government', 'republic', 'korea', 'condemns', 'use', 'chemical', 'weapons', 'strongest', 'possible', 'terms', 'constitutes', 'crime', 'humanity', 'tolerated', 'circumstances']"
79,"['regard', 'welcome', 'recent', 'agreement', 'united', 'states', 'russia', 'framework', 'elimination', 'syrian', 'chemical', 'weapons', 'expect', 'decision', 'organization', 'prohibition', 'chemical', 'weapons']"
80,"['reinforcing', 'resolution', 'security', 'council', 'sometime', 'today']"
81,"['urge', 'syrian', 'government', 'faithfully', 'implement', 'commitments', 'international', 'community']"
82,"['also', 'strongly', 'call', 'upon', 'countries', 'acceded', 'chemical', 'weapons', 'convention', 'including', 'democratic', 'people', '’', 'republic', 'korea', 'soon', 'possible']"
83,"['context', 'must', 'draw', 'attention', 'seriousness', 'democratic', 'people', '’', 'republic', '’', 'ongoing', 'weapons', 'mass', 'destruction', 'wmd', 'programmes']"
84,"['despite', 'series', 'security', 'council', 'resolutions', 'democratic', 'people', '’', 'republic', 'launched', 'longrange', 'missiles', 'conducted', 'nuclear', 'tests', 'recently', 'early', '2013', 'blatant', 'violation', 'international', 'obligations']"
85,"['strictly', 'implement', 'obligations', 'relevant', 'security', 'council', 'resolutions', 'including', 'resolution', '2094', '2013']"
86,"['case', 'syria', 'international', 'community', 'make', 'united', 'efforts', 'roll', 'back', 'democratic', 'people', '’', 'republic', '’', 'nuclearweapons', 'programmes', 'prevent', 'advent', 'another', 'nucleararmed', 'state']"
87,"['however', 'decides', 'give', 'socalled', 'parallel', 'pursuit', 'economic', 'development', 'nuclear', 'armament', 'turn', 'embarks', 'path', 'genuine', 'change', 'concrete', 'actions', 'republic', 'korea', 'stands', 'ready', 'help', 'democratic', 'people', '’', 'republic']"
88,"['alongside', 'proliferation', 'wmd', 'terrorism', 'presents', 'grave', 'threat', 'international', 'peace', 'security', 'twentyfirst', 'century']"
89,"['republic', 'korea', 'strongly', 'condemns', 'terrorist', 'attack', 'took', 'place', 'last', 'weekend', 'nairobi', 'kenya']"
90,"['sincere', 'condolences', 'go', 'victims', 'families', 'tragedy']"
91,"['government', 'republic', 'korea', 'denounces', 'forms', 'terrorism', 'continue', 'take', 'part', 'global', 'efforts', 'combat', 'terrorism']"
92,"['together', 'efforts', 'respond', 'imminent', 'security', 'threats', 'including', 'proliferation', 'wmd', 'new', 'administration', 'republic', 'korea', 'pursuing', 'policy', 'calls', '“', 'trustpolitik', '”', 'establish', 'regional', 'order', 'reconciliation', 'cooperation', 'korean', 'peninsula', 'northeast', 'asia']"
93,"['trustpolitik', 'turn', 'implemented', 'korean', 'peninsula', 'trustbuilding', 'process', 'northeast', 'asia', 'peace', 'cooperation', 'initiative']"
94,"['korean', 'peninsula', 'trustbuilding', 'process', 'aspires', 'safeguard', 'peace', 'based', 'strong', 'deterrence', 'simultaneously', 'building', 'peace', 'dialogue', 'cooperation']"
95,"['process', 'new', 'administration', 'republic', 'korea', 'able', 'ensure', 'resumption', 'operations', 'kaesong', 'industrial', 'park', 'remaining', 'interkorean', 'economic', 'cooperation', 'project']"
96,"['furthermore', 'republic', 'korea', 'proposes', 'create', 'world', 'peace', 'park', 'world', '’', 'heavily', 'armed', 'demilitarized', 'zone', 'order', 'transform', 'lasting', 'legacy', 'cold', 'war', 'divided', 'korea', 'new', 'space', 'peace', 'harmony']"
97,"['hope', 'united', 'nations', 'two', 'koreas', 'work', 'together', 'bring', 'proposal', 'fruition', 'thereby', 'contributing', 'greatly', 'building', 'trust', 'korean', 'peninsula']"
98,"['turning', 'broader', 'region', 'northeast', 'asia', 'korea', 'expecting', 'political', 'security', 'cooperation', 'corresponds', 'level', 'economic', 'interdependence', 'region']"
99,"['end', 'republic', 'korea', 'proposed', 'northeast', 'asia', 'peace', 'cooperation', 'initiative', 'open', 'dialogue', 'soft', 'issues', 'common', 'interests', 'players', 'region']"
100,"['republic', 'korea', 'also', 'interested', 'learning', 'valuable', 'experiences', 'successful', 'regional', 'institutions', 'european', 'union', 'organization', 'security', 'cooperation', 'europe', 'regional', 'forum', 'association', 'southeast', 'asian', 'nations']"
101,"['second', 'pillar', 'era', 'global', 'happiness', 'promotion', 'human', 'rights', 'human', 'dignity', 'universal', 'values']"
102,"['past', 'century', 'republic', 'korea', 'went', 'colonial', 'occupation', 'tragic', 'internecine', 'war']"
103,"['experience', 'koreans', 'became', 'appreciative', 'others', 'paramount', 'importance', 'human', 'rights', 'humanitarianism']"
104,"['worldwide', 'alarming', 'increase', 'number', 'refugees', 'internally', 'displaced', 'persons', 'owing', 'wars', 'intrastate', 'conflicts']"
105,"['concerning', 'massive', 'refugee', 'problem', 'caused', 'syrian', 'civil', 'war', 'government', 'actively', 'involved', 'international', 'efforts', 'assist', 'refugees']"
106,"['korea', 'also', 'planning', 'cohost', 'working', 'group', 'meeting', 'syrian', 'reconstruction', 'seoul', 'next', 'month']"
107,"['republic', 'korea', 'also', 'wishes', 'emphasize', 'need', 'uphold', 'internationally', 'established', 'legal', 'principle', 'nonrefoulement']"
108,"['today', '10', 'million', 'people', 'korea', 'suffering', 'agony', 'able', 'see', 'loved', 'ones', 'across', 'interkorean', 'border', 'even', '60', 'years', 'end', 'korean', 'war']"
109,"['based', 'recent', 'agreement', 'two', 'koreas', 'reunion', 'separated', 'families', 'held', 'week']"
