incidntnum,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,pdid
30325834,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Wednesday,03/19/2003,01:06:00,MISSION,"ARREST, BOOKED",3100 Block of CESAR CHAVEZ ST,-122.412594354828,37.7481660056223,"(37.7481660056223, -122.412594354828)",3032583427130
150119979,OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,02/08/2015,03:26:00,INGLESIDE,"ARREST, BOOKED",MISSION ST / COLLEGE AV,-122.424702079332,37.7353699090873,"(37.7353699090873, -122.424702079332)",15011997965015
130507219,OTHER OFFENSES,RESISTING ARREST,Thursday,06/20/2013,15:22:00,CENTRAL,"ARREST, CITED",200 Block of SACRAMENTO ST,-122.39840549202,37.7944120086129,"(37.7944120086129, -122.39840549202)",13050721927170
40459865,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,04/21/2004,11:00:00,INGLESIDE,NONE,600 Block of 28TH ST,-122.436796627403,37.7447510901057,"(37.7447510901057, -122.436796627403)",4045986571010
70067529,FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Friday,01/05/2007,12:00:00,INGLESIDE,NONE,1600 Block of BURROWS ST,-122.41941248624,37.7248875198607,"(37.7248875198607, -122.41941248624)",7006752909020
106103162,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,08/19/2010,14:05:00,BAYVIEW,NONE,1300 Block of REVERE AV,-122.385545453301,37.728979731984,"(37.728979731984, -122.385545453301)",10610316206372
120276214,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,04/07/2012,03:05:00,PARK,"ARREST, BOOKED",500 Block of CENTRAL AV,-122.444568876114,37.7746181158166,"(37.7746181158166, -122.444568876114)",12027621404136
170096642,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Friday,02/03/2017,15:00:00,MISSION,NONE,400 Block of CASTRO ST,-122.43515009981229,37.761759724359806,"(37.761759724359806, -122.43515009981229)",17009664206361
40822096,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,07/19/2004,13:00:00,TENDERLOIN,"ARREST, CITED",EDDY ST / HYDE ST,-122.415885065795,37.7835160563924,"(37.7835160563924, -122.415885065795)",4082209665016
100487776,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,05/07/2010,20:30:00,SOUTHERN,NONE,400 Block of MINNA ST,-122.407387172098,37.7810688918781,"(37.7810688918781, -122.407387172098)",10048777606301
160459555,ROBBERY,ROBBERY OF A SERVICE STATION WITH A GUN,Sunday,06/05/2016,18:35:00,TARAVAL,NONE,1100 Block of JUNIPERO SERRA BL,-122.4723890410333,37.7175010456614,"(37.7175010456614, -122.4723890410333)",16045955503031
120107590,LARCENY/THEFT,GRAND THEFT BICYCLE,Friday,02/03/2012,19:00:00,RICHMOND,NONE,600 Block of 25TH AV,-122.484595739169,37.7772129804302,"(37.7772129804302, -122.484595739169)",12010759006314
100847910,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,09/13/2010,00:01:00,MISSION,NONE,100 Block of GRANDVIEW AV,-122.440411847156,37.7554456064661,"(37.7554456064661, -122.440411847156)",10084791028150
30802688,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,07/05/2003,16:00:00,NORTHERN,NONE,FRANKLIN ST / ELLIS ST,-122.422654162991,37.7836201224122,"(37.7836201224122, -122.422654162991)",3080268806243
60098528,NON-CRIMINAL,TARASOFF REPORT,Thursday,01/26/2006,09:15:00,TENDERLOIN,NONE,300 Block of EDDY ST,-122.413790972781,37.7838365565348,"(37.7838365565348, -122.413790972781)",6009852815095
130149833,MISSING PERSON,MISSING JUVENILE,Wednesday,02/20/2013,09:00:00,PARK,LOCATED,100 Block of BELVEDERE ST,-122.449328648219,37.7677738874748,"(37.7677738874748, -122.449328648219)",13014983374010
41322974,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,11/18/2004,17:00:00,CENTRAL,NONE,900 Block of MASON ST,-122.410845624227,37.7923158747647,"(37.7923158747647, -122.410845624227)",4132297406304
100174597,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,02/21/2010,17:20:00,SOUTHERN,"ARREST, CITED",800 Block of MARKET ST,-122.407633520742,37.7841893501425,"(37.7841893501425, -122.407633520742)",10017459706361
130034347,OTHER OFFENSES,CONSPIRACY,Sunday,01/13/2013,01:03:00,TENDERLOIN,"ARREST, BOOKED",100 Block of ELLIS ST,-122.408270724034,37.7854941424186,"(37.7854941424186, -122.408270724034)",13003434726080
150034220,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/11/2015,23:00:00,INGLESIDE,NONE,1200 Block of ALEMANY BL,-122.432268894425,37.7301394309025,"(37.7301394309025, -122.432268894425)",15003422007021
101033821,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Saturday,11/06/2010,22:00:00,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / JONES ST,-122.412970537591,37.7857883766888,"(37.7857883766888, -122.412970537591)",10103382116623
130473234,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,06/08/2013,18:00:00,RICHMOND,UNFOUNDED,300 Block of 7TH AV,-122.465490381382,37.7819066124774,"(37.7819066124774, -122.465490381382)",13047323464070
96024454,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,04/06/2009,14:30:00,INGLESIDE,NONE,1500 Block of TREAT AV,-122.41250614556,37.7456802881475,"(37.7456802881475, -122.41250614556)",9602445406244
70430788,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,04/26/2007,13:15:00,NORTHERN,NONE,600 Block of EDDY ST,-122.418382008607,37.7832583770949,"(37.7832583770949, -122.418382008607)",7043078806154
